a-fortiori aforsïori
accessoirement aksés!armâ
accessoiriste aksés!arist^
accident aksidâ
accidentel aksidât%l
accidentelle aksidât%l
accidentellement aksidât%lmâ
accidenté aksidâté
accidentée aksidâté
acclamation aklamasïô
acclamer aklamé
acclimatation aklimatasïô
acclimatement aklimatmâ
acclimater aklimaté
accointance ak!êtâs
accolade akolad
accomodant akomodâ
accomodante akomodât
accomodation akomodasïô
accomodement akomodmâ
accomoder akomodé
accompagnateur akôpaNater
accompagnatrice akôpaNatris
accompagnement akôpaNmâ
accompagner akôpaNé
accompli akôpli
accomplie akôpli
accomplir akôplir
accomplissement akôplismâ
accord akor
accorder akordé
accordeur akorder
accordéon akordéô
accordéoniste akordéonist^
accorte akort^
accostage akostaj
accoster akosté
accotement akotmâ
accoter akoté
accotoir akot!ar
accouchement aku/mâ
accoucher aku/é
accoucheur aku/er
accoucheuse aku/Ez
accouchée aku/é
accouder akudé
accoudoir akud!ar
accouplement akupl^mâ
accoupler akuplé
accourir akurir
accoutrement akutr^mâ
accoutrer akutré
accoutumance akutymâs
accoutumer akutymé
accoutumé akutymé
accoutumée akutymé
accroc akro
accrochage akro/aj
accroche-coeur akro/ker
accrocher akro/é
accrocheur akro/er
accrocheuse akro/Ez
accroire akr!ar
accroissement akr!asmâ
accroupir akrupir
accroupissement akrupismâ
accroître akr!atr^
accréditer akrédité
accu aky
accueil akeï
accueillant akeïâ
accueillante akeïât
accueillir akeïir
acculer akylé
accumulateur akymylater
accumulation akymylasïô
accumuler akymylé
accusateur akyzater
accusatif akyzatif
accusation akyzasïô
accusatrice akyzatris
accuser akyzé
accusé akyzé
accusée akyzé
accès aks%
accéder aksédé
accélérateur aksélérater
accélération aksélérasïô
accélérer akséléré
acerbe asérb^
achalandé a/alâdé
achalandée a/alâdé
acharnement a/arn^mâ
acharner a/arné
acharné a/arné
acharnée a/arné
achat a/a
acheminement a/minmâ
acheminer a/miné
acheter a/té
acheteur a/ter
acheteuse a/tEz
achever a/vé
achevé a/vé
achevée a/vé
achoppement a/opmâ
achèvement a/%vmâ
acide asid
acidifier asidifïé
acidité asidité
acidulé asidylé
acidulée asidylé
acier asïé
aciérie asïéri
acné akné
acolyte akolit
acompte akôt
aconit akonit
acoquiner akokiné
acoustique akustik
acquiescement akï%smâ
acquiescer akïésé
acquis aki
acquise akiz
acquisition akizisïô
acquit aki
acquittement akitmâ
acquitter akité
acquéreur akérer
acquérir akérir
acrimonie akrimoni
acrobate akrobat
acrobatie akrobasi
acrobatique akrobatik
acropole akropol
acrostiche akrosti/
acrylique akrilik
acte akt^
acteur akter
actif aktif
action aksïô
actionnaire aksïon%r
actionnement aksïonmâ
actionner aksïoné
active aktiv
activement aktivmâ
activer aktivé
activisme aktivism^
activiste aktivist^
activité aktivité
actrice aktris
actuaire akt%%r
actualisation akt%alizasïô
actualiser akt%alizé
actualité akt%alité
actuel akt%%l
actuelle akt%%l
actuellement akt%%lmâ
acuité ak%ité
acuponcteur akypôkter
acuponcture akypôktyr
acupuncteur akypôkter
acupuncture akypôktyr
acéré aséré
acérée aséré
acétate asétat
acétique asétik
acétone aséton
acétylène asétil%n
ad-hoc adok
ad-libitum adlibitom
adage adaj
adagio adadjïo
adaptateur adaptater
adaptation adaptasïô
adaptatrice adaptatris
adapter adapté
addenda adêda
additif aditif
addition adisïô
additionnel adisïon%l
additionnelle adisïon%l
additionner adisïoné
adducteur adykter
adduction adyksïô
adepte ad%pt^
adhérence adérâs
adhérent adérâ
adhérente adérât
adhérer adéré
adhésif adézif
adhésion adézïô
adhésive adéziv
adieu adïE
adipeuse adipEz
adipeux adipE
adjacent adjasâ
adjacente adjasât
adjectif adj%ktif
adjective adj%ktiv
adjoindre adj!êdr^
adjoint adj!ê
adjointe adj!êt
adjonction adjôksïô
adjudant adjydâ
adjudicataire adjydikat%r
adjudication adjydikasïô
adjuger adjyjé
adjuration adjyrasïô
adjurer adjyré
adjuvant adjyvâ
admettre adm%tr^
administrateur administrater
administratif administratif
administration administrasïô
administrative administrativ
administrativement administrativmâ
administratrice administratris
administrer administré
administré administré
administrée administré
admirable admirabl^
admirablement admirabl^mâ
admirateur admirater
admiratif admiratif
admiration admirasïô
admirative admirativ
admiratrice admiratris
admirer admiré
admissibilité admisibilité
admissible admisibl^
admission admisïô
admonestation admon%stasïô
admonester admon%sté
adolescence adol%sâs
adolescent adol%sâ
adolescente adol%sât
adonis adonis
adonner adoné
adopter adopté
adoptif adoptif
adoption adopsïô
adoptive adoptiv
adorable adorabl^
adorablement adorabl^mâ
adorateur adorater
adoration adorasïô
adoratrice adoratris
adorer adoré
adosser adosé
adoucir adusir
adoucissement adusismâ
adresse adr%s
adresser adr%sé
adroit adr!a
adroite adr!at
adroitement adr!atmâ
adulation adylasïô
aduler adylé
adulte adylt^
adultère adylt%r
adultérin adyltérê
adultérine adyltérin
advenir adv^nir
adventice advâtis
adverbe adv%rb^
adverbial adv%rbïal
adverbiale adv%rbïal
adverbiaux adv%rbïo
adversaire adv%rs%r
adverse adv%rs^
adversité adv%rsité
adéquat adék!a
adéquate adék!at
adéquation adék!asïô
affabilité afabilité
affable afabl^
affablement afabl^mâ
affabulation afabylasïô
affadir afadir
affadissement afadismâ
affaiblir aféblir
affaiblissant aféblisâ
affaiblissante aféblisât
affaiblissement aféblismâ
affaire af%r
affairement af%rmâ
affairer aféré
affaires af%r
affairiste aférist^
affairé aféré
affairée aféré
affaissement af%smâ
affaisser afésé
affaler afalé
affamer afamé
affameur afamer
affamé afamé
affamée afamé
affect af%kt
affectation af%ktasïô
affecter af%kté
affectif af%ktif
affection af%ksïô
affectionner af%ksïoné
affectionné af%ksïoné
affectionnée af%ksïoné
affective af%ktiv
affectivité af%ktivité
affectueuse af%kt%Ez
affectueusement af%kt%Ezmâ
affectueux af%kt%E
affecté af%kté
affectée af%kté
affermir af%rmir
affermissement af%rmismâ
affichage afi/aj
affiche afi/
afficher afi/é
affichette afi/%t
afficheur afi/er
affichiste afi/ist^
affidé afidé
affidée afidé
affiler afilé
affiliation afilïasïô
affilier afilïé
affilié afilïé
affiliée afilïé
affilée afilé
affinage afinaj
affinement afinmâ
affiner afiné
affinité afinité
affiquet afik%
affirmatif afirmatif
affirmation afirmasïô
affirmative afirmativ
affirmativement afirmativmâ
affirmer afirmé
affixe afiks^
affleurement aflermâ
affleurer afleré
afflictif afliktif
affliction afliksïô
afflictive afliktiv
affligeant aflijâ
affligeante aflijât
affliger aflijé
affluence aflyâs
affluent aflyâ
affluer aflyé
afflux afly
affolant afolâ
affolante afolât
affolement afolmâ
affoler afolé
affolé afolé
affolée afolé
affranchi afrâ/i
affranchie afrâ/i
affranchir afrâ/ir
affranchissement afrâ/ismâ
affres afr^
affreuse afrEz
affreusement afrEzmâ
affreux afrE
affriolant afriïolâ
affriolante afriïolât
affront afrô
affrontement afrôtmâ
affronter afrôté
affrètement afr%tmâ
affréter afrété
affubler afyblé
afférent aférâ
afférente aférât
afféterie afétri
affût afy
affûtage afytaj
affûter afyté
affûtiaux afytïo
afin afê
africain afrikê
africaine afrik%n
africaniste afrikanist^
afrikander afrikâd%r
afro-asiatique afroazïatik
agacement agasmâ
agacer agasé
agaceries agasri
agapes agap
agate agat
agave agav
agaçant agasâ
agaçante agasât
agence ajâs
agencement ajâsmâ
agencer ajâsé
agenda ajêda
agenouillement ajnuïmâ
agenouiller ajnuïé
agent ajâ
agglomérat agloméra
agglomération aglomérasïô
agglomérer agloméré
aggloméré agloméré
agglutinant aglytinâ
agglutinante aglytinât
agglutination aglytinasïô
agglutiner aglytiné
aggravant agravâ
aggravante agravât
aggravation agravasïô
aggraver agravé
agile ajil
agilement ajilmâ
agilité ajilité
agios ajïo
agioteur ajïoter
agir ajir
agissant ajisâ
agissante ajisât
agissements ajismâ
agitateur ajitater
agitation ajitasïô
agitatrice ajitatris
agiter ajité
agité ajité
agitée ajité
agneau aNo
agnostique agnostik
agnus-dei agnusdéi
agonie agoni
agonir agonir
agonisant agonizâ
agonisante agonizât
agoniser agonizé
agoraphobie agorafobi
agrafe agraf
agrafer agrafé
agrafeuse agrafEz
agraire agr%r
agrandir agrâdir
agrandissement agrâdismâ
agresser agrésé
agresseur agr%ser
agressif agr%sif
agression agr%sïô
agressive agr%siv
agressivité agr%sivité
agreste agr%st^
agricole agrikol
agriculteur agrikylter
agriculture agrikyltyr
agripper agripé
agronome agronom
agronomie agronomi
agronomique agronomik
agrumes agrym
agrès agr%
agréable agréabl^
agréablement agréabl^mâ
agréer agréé
agrégat agréga
agrégatif agrégatif
agrégation agrégasïô
agrégative agrégativ
agréger agréjé
agrégé agréjé
agrégée agréjé
agrément agrémâ
agrémenter agrémâté
aguerrir agérir
aguets ag%
aguichant agi/â
aguichante agi/ât
aguicher agi/é
aguicheur agi/er
aguicheuse agi/Ez
ah a
ahurir ayrir
ahurissant ayrisâ
ahurissante ayrisât
ahurissement ayrismâ
aide %d
aide-mémoire %dmém!ar
aider édé
aigle %gl^
aiglon %glô
aigre %gr^
aigre-douce %gr^dus
aigre-doux %gr^du
aigrefin %gr^fê
aigrelet %gr^l%
aigrelette %gr^l%t
aigrement %gr^mâ
aigrette %gr%t
aigreur %grer
aigrir égrir
aigu égy
aigue-marine %gmarin
aiguillage ég%iïaj
aiguille ég%iï
aiguiller ég%iïé
aiguillette ég%iï%t
aiguilleur ég%iïer
aiguillon ég%iïô
aiguillonner ég%iïoné
aiguiser égizé
aiguière %gï%r
aigü égy
ail aï
aile %l
aileron %lrô
ailette %l%t
ailier élïé
ailler aïé
ailleurs aïer
ailloli aïoli
ailé élé
ailée élé
aimable %mabl^
aimablement %mabl^mâ
aimant %mâ
aimantation %mâtasïô
aimante %mât
aimanter %mâté
aimer émé
aine %n
ainsi êsi
air %r
airain %rê
aire %r
airelle %r%l
aisance %zâs
aise %z
aisselle %s%l
aisé ézé
aisée ézé
aisément ézémâ
ajax ajaks^
ajonc ajô
ajournement ajurn^mâ
ajourner ajurné
ajouré ajuré
ajourée ajuré
ajout aju
ajouter ajuté
ajustement ajyst^mâ
ajuster ajysté
ajusteur ajyster
ajusté ajysté
ajustée ajysté
alaise al%z
alambic alâbik
alambiqué alâbiké
alambiquée alâbiké
alanguir alâgir
alanguissement alâgismâ
alarmant alarmâ
alarmante alarmât
alarme alarm^
alarmer alarmé
alarmiste alarmist^
albatros albatros
albinos albinos
album albom
albumine albymin
albuminoïde albyminoid
albâtre albatr^
alcali alkali
alcalin alkalê
alcaline alkalin
alcaloïde alkaloid
alcarazas alkarazas
alchimie al/imi
alchimiste al/imist^
alcool alkol
alcoolique alkolik
alcooliser alkolizé
alcoolisme alkolism^
alcootest alkot%st
alcôve alkov
aldéhyde aldéid
alentour alâtur
alentours alâtur
alerte al%rt^
alerter al%rté
alevin alvê
aleviner alviné
alexandrin al%ksâdrê
alezan alzâ
alezane alzan
alfa alfa
algarade algarad
algorithme algoritm^
algue alg^
algèbre alj%br^
algébrique aljébrik
algébriquement aljébrikmâ
algérien aljérïê
algérienne aljérï%n
alias alïas
alibi alibi
alignement aliNmâ
aligner aliNé
aliment alimâ
alimentaire alimât%r
alimentation alimâtasïô
alimenter alimâté
alinéa alinéa
aliquote alikot
aliter alité
alizé alizé
aliénation alïénasïô
aliéner alïéné
aliéniste alïénist^
allaitement al%tmâ
allaiter alété
allant alâ
allegretto alégréto
allegro alégro
allemand almâ
allemande almâd
aller alé
allergie al%rji
allergique al%rjik
alliage alïaj
alliance alïâs
allier alïé
alligator aligator
allitération alitérasïô
allié alïé
alliée alïé
allo alo
allocation allokasïô
allocution allokysïô
allogène alloj%n
allongement alôjmâ
allonger alôjé
allongé alôjé
allongée alôjé
allopathie alopati
allouer al!é
allumage alymaj
allumer alymé
allumette alym%t
allumeur alymer
allumeuse alymEz
allure alyr
allusif alyzif
allusion alyzïô
allusive alyziv
alluvial alyvïal
alluviale alyvïal
alluviaux alyvïo
alluvions alyvïô
allègement al%jmâ
allègre al%gr^
alléchant alé/â
alléchante alé/ât
allécher alé/é
allée alé
allégation alégasïô
alléger aléjé
allégorie alégori
allégorique alégorik
allégoriquement alégorikmâ
allégrement al%gr^mâ
allégresse alégr%s
alléguer alégé
alléluia aléluïa
almanach almana
aloi al!a
alors alor
alose aloz
alouette al!%t
alourdir alurdir
alourdissement alurdismâ
aloyau al!aïo
aloès alo%s
alpaga alpaga
alpage alpaj
alpestre alp%str^
alpha alfa
alphabet alfab%
alphabétique alfabétik
alpin alpê
alpine alpin
alpinisme alpinism^
alpiniste alpinist^
alsacien alzasïê
alsacienne alzasï%n
alter-ego alt%régo
altercation alt%rkasïô
alternance alt%rnâs
alternant alt%rnâ
alternante alt%rnât
alternatif alt%rnatif
alternative alt%rnativ
alternativement alt%rnativmâ
alterner alt%rné
alterné alt%rné
alternée alt%rné
altesse alt%s
altier altïé
altimètre altim%tr^
altiste altist^
altitude altityd
altière altï%r
alto alto
altruisme altr%ism^
altruiste altr%ist^
altération altérasïô
altérer altéré
aluminium alyminïom
alunir alynir
alunissage alynisaj
alvéole alvéol
alèse al%z
aléa aléa
aléatoire aléat!ar
alésage alézaj
aléser alézé
aléseur alézer
aléseuse alézEz
amabilité amabilité
amadou amadu
amadouer amad!é
amaigri amégri
amaigrie amégri
amaigrir amégrir
amaigrissant amégrisâ
amaigrissante amégrisât
amaigrissement amégrismâ
amalgame amalgam
amalgamer amalgamé
amande amâd
amandier amâdïé
amanite amanit
amant amâ
amante amât
amarante amarât
amarrage amaraj
amarre amar
amarrer amaré
amas ama
amasser amasé
amateur amater
amateurisme amaterism^
amazone amazon
ambages âbaj
ambassade âbasad
ambassadeur âbasader
ambassadrice âbasadris
ambiance âbïâs
ambiant âbïâ
ambiante âbïât
ambigu âbigy
ambiguïté âbig%ité
ambigü âbigy
ambitieuse âbisïEz
ambitieusement âbisïEzmâ
ambitieux âbisïE
ambition âbisïô
ambitionner âbisïoné
ambivalence âbivalâs
ambivalent âbivalâ
ambivalente âbivalât
ambre âbr^
ambroisie âbr!azi
ambré âbré
ambrée âbré
ambulance âbylâs
ambulancier âbylâsïé
ambulancière âbylâsï%r
ambulant âbylâ
ambulante âbylât
amen am%n
amende amâd
amendement amâdmâ
amender amâdé
amener amné
amenuisement am^n%izmâ
amenuiser amén%izé
amenée amné
amer am%r
amerrir amérir
amerrisage amérisaj
amertume am%rtym
ameublement amebl^mâ
ameublir ameblir
ameublissement ameblismâ
ameuter amEté
ami ami
amiable amïabl^
amiante amïât
amibe amib
amical amikal
amicale amikal
amicalement amikalmâ
amicaux amiko
amidon amidô
amidonnage amidonaj
amidonner amidoné
amie ami
amincir amêsir
amincissement amêsismâ
aminé aminé
aminée aminé
amiral amiral
amirauté amiroté
amiraux amiro
amitié amitïé
ammoniac amonïak
ammoniaque amonïak
amnistie amnisti
amnistier amnistïé
amnésie amnézi
amnésique amnézik
amocher amo/é
amoindrir am!êdrir
amoindrissement am!êdrismâ
amollir amolir
amollissant amolisâ
amollissante amolisât
amollissement amolismâ
amonceler amôslé
amoncellement amôs%lmâ
amont amô
amoral amoral
amorale amoral
amoraux amoro
amorce amors^
amorcer amorsé
amorphe amorf^
amortir amortir
amortissement amortismâ
amortisseur amortiser
amorçage amorsaj
amour amur
amour-propre amurpropr^
amouracher amura/é
amoureuse amurEz
amoureusement amurEzmâ
amoureux amurE
amovibilité amovibilité
amovible amovibl^
amphibie âfibi
amphibologie âfiboloji
amphibologique âfibolojik
amphigourique âfigurik
amphithéâtre âfitéatr^
amphitryon âfitriïô
amphore âfor
ample âpl^
amplement âpl^mâ
ampleur âpler
amplificateur âplifikater
amplification âplifikasïô
amplifier âplifïé
amplitude âplityd
ampoule âpul
ampoulé âpulé
ampoulée âpulé
amputation âpytasïô
amputer âpyté
ampère âp%r
amulette amyl%t
amusant amyzâ
amusante amyzât
amuse-gueule amyzgel
amusement amyzmâ
amuser amyzé
amusette amyz%t
amuseur amyzer
amygdale amidal
amène am%n
amère am%r
amèrement am%rmâ
amélioration amélïorasïô
améliorer amélïoré
aménagement aménajmâ
aménager aménajé
aménité aménité
américain amérikê
américaine amérik%n
américanisation amérikanizasïô
américaniser amérikanizé
américanisme amérikanism^
améthyste amétist^
an â
anachorète anakor%t
anachronique anakronik
anachronisme anakronism^
anacoluthe anakolyt
anaconda anakôda
anagramme anagram
anal anal
anale anal
analogie analoji
analogique analojik
analogue analog
analphabète analfab%t
analphabétisme analfabétism^
analysable analizabl^
analyse analiz
analyser analizé
analyste analist^
analytique analitik
ananas anana
anaphore anafor
anarchie anar/i
anarchique anar/ik
anarchiquement anar/ikmâ
anarchisme anar/ism^
anarchiste anar/ist^
anastomose anastomoz
anathème anat%m
anathématiser anatématizé
anatomie anatomi
anatomique anatomik
anatomiquement anatomikmâ
anaux ano
anaérobie anaérobi
ancestral âs%stral
ancestrale âs%stral
ancestraux âs%stro
anche â/
anchois â/!a
ancien âsïê
ancienne âsï%n
anciennement âsï%nmâ
ancienneté âsï%nté
ancillaire âsil%r
ancolie âkoli
ancrage âkraj
ancre âkr^
ancrer âkré
ancêtre âs%tr^
andante âdât
andouille âduï
andouiller âduïé
andouillette âduï%t
androgyne âdrojin
anecdote an%kdot
anecdotier an%kdotïé
anecdotique an%kdotik
anesthésie an%stézi
anesthésier an%stézïé
anesthésique an%stézik
anesthésiste an%stézist^
anfractuosité âfrakt%ozité
ange âj
angelot âjlo
angine âjin
angiospermes âjïosp%rm^
anglais âgl%
anglaise âgl%z
angle âgl^
anglican âglikâ
anglicane âglikan
anglicanisme âglikanism^
angliciser âglisizé
anglicisme âglisism^
angliciste âglisist^
anglo-normand âglonormâ
anglo-normande âglonormâd
anglo-saxon âglosaksô
anglo-saxonne âglosakson
anglomanie âglomani
anglophile âglofil
anglophilie âglofili
anglophobe âglofob
anglophobie âglofobi
angoissant âg!asâ
angoissante âg!asât
angoisse âg!as
angoisser âg!asé
angora âgora
anguille âgiï
angulaire âgyl%r
anguleuse âgylEz
anguleux âgylE
angélique âjélik
angélus âjélys
anhydride anidrid
anicroche anikro/
animal animal
animalcule animalkyl
animale animal
animalier animalïé
animalité animalité
animateur animater
animation animasïô
animatrice animatris
animaux animo
animer animé
animisme animism^
animiste animist^
animosité animozité
animé animé
animée animé
anis anis
anisette aniz%t
ankylose âkiloz
ankylosé âkilozé
ankylosée âkilozé
annales anal
anneau ano
annelé anlé
annelée anlé
annexe an%ks^
annexer anéksé
annexion anéksïô
annihilation aniilasïô
annihiler aniilé
anniversaire aniv%rs%r
annonce anôs
annoncer anôsé
annonceur anôser
annonciateur anôsïater
annonciation anôsïasïô
annonciatrice anôsïatris
annotation anotasïô
annoter anoté
annuaire an%%r
annuel an%%l
annuelle an%%l
annuellement an%%lmâ
annuité an%ité
annulaire anyl%r
annulation anylasïô
annuler anylé
année ané
année-lumière anélymï%r
anoblir anoblir
anoblissement anoblismâ
anode anod
anodin anodê
anodine anodin
anomal anomal
anomale anomal
anomalie anomali
anomaux anomo
anonymat anonima
anonyme anonim
anonymement anonimmâ
anorak anorak
anormal anormal
anormale anormal
anormalement anormalmâ
anormaux anormo
anse âs
antagonique âtagonik
antagonisme âtagonism^
antagoniste âtagonist^
antan âtâ
antarctique âtarktik
antenne ât%n
anthologie âtoloji
anthracite âtrasit
anthrax âtraks
anthropocentrique âtroposâtrik
anthropocentrisme âtroposâtrism^
anthropologie âtropoloji
anthropologique âtropolojik
anthropologiste âtropolojist^
anthropologue âtropolog
anthropomorphisme âtropomorfism^
anthropométrie âtropométri
anthropométrique âtropométrik
anthropophage âtropofaj
anthropophagie âtropofaji
anthropoïde âtropoid
anthère ât%r
anti-scientifique âtisïâtifik
anti-sous-marin âtisumarê
anti-sous-marine âtisumarin
antialcoolique âtialkolik
antiaérien âtiaérïê
antiaérienne âtiaérï%n
antibiotique âtibïotik
antibrouillard âtibruïar
anticancéreuse âtikâsérEz
anticancéreux âtikâsérE
antichambre âti/âbr^
antichar âti/ar
anticipation âtisipasïô
anticiper âtisipé
anticipé âtisipé
anticipée âtisipé
anticlérical âtiklérikal
anticléricale âtiklérikal
anticléricalisme âtiklérikalism^
anticléricaux âtiklériko
anticolonialisme âtikolonïalism^
anticolonialiste âtikolonïalist^
anticommunisme âtikomynism^
anticommuniste âtikomynist^
anticonceptionnel âtikôs%psïon%l
anticonceptionnelle âtikôs%psïon%l
anticonformisme âtikôformism^
anticonformiste âtikôformist^
anticonstitutionnel âtikôstitysïon%l
anticorps âtikor
anticyclone âtisiklon
antidater âtidaté
antidiphtérique âtidiftérik
antidote âtidot
antidémocratique âtidémokratik
antidérapant âtidérapâ
antidérapante âtidérapât
antienne âtï%n
antiesclavagiste âti%sklavajist^
antifasciste âtifa/ist^
antigel âtij%l
antigouvernemental âtiguv%rn^mâtal
antigouvernementale âtiguv%rn^mâtal
antigouvernementaux âtiguv%rn^mâto
antigrippe âtigrip
antigène âtij%n
antilope âtilop
antimatière âtimatï%r
antimilitarisme âtimilitarism^
antimilitariste âtimilitarist^
antimite âtimit
antimoine âtim!an
antinomie âtinomi
antinomique âtinomik
antiparasite âtiparazit
antiparlementarisme âtiparl^mâtarism^
antipathie âtipati
antipathique âtipatik
antipatriotique âtipatriïotism^
antiphrase âtifraz
antipode âtipod
antipyrétique âtipirétik
antiquaille âtikaï
antiquaire âtik%r
antique âtik
antiquité âtikité
antirabique âtirabik
antiraciste âtirasist^
antireligieuse âtirlijïEz
antireligieux âtirlijïE
antirides âtirid
antirouille âtiruï
antisepsie âtis%psi
antiseptique âtis%ptik
antisocial âtisosïal
antisociale âtisosïal
antisociaux âtisosïo
antispasmodique âtispasmodik
antisportif âtisportif
antisportive âtisportiv
antiségrégationniste âtiségrégasïonist^
antisémite âtisémit
antisémitisme âtisémitism^
antithèse âtit%z
antithétique âtitétik
antitoxine âtitoksin
antituberculeuse âtityb%rkylEz
antituberculeux âtityb%rkylE
antitétanique âtitétanik
antivol âtivol
antonyme âtonim
antonymie âtonimi
antre âtr^
antéchrist âtékrist
antécédent âtésédâ
antédiluvien âtédilyvïê
antédiluvienne âtédilyvï%n
antépénultième âtépényltï%m
antérieur âtérïer
antérieure âtérïer
antérieurement âtérïermâ
antériorité âtérïorité
anus anys
anxieuse âksïEz
anxieusement âksïEzmâ
anxieux âksïE
anxiété âksïété
anéantir anéâtir
anéantissement ânéâtismâ
anémiant anémïâ
anémiante anémïât
anémie anémi
anémier anémïé
anémique anémik
anémone anémon
anévrisme anévrism^
aorte aort^
aortique aortik
août u
aoûtien ausïê
aoûtienne ausï%n
apache apa/
apaisant ap%zâ
apaisante ap%zât
apaisement ap%zmâ
apaiser apézé
apanage apanaj
aparté aparté
apathie apati
apathique apatik
apatride apatrid
apercevoir ap%rs^v!ar
aperçu ap%rsy
apesanteur ap^zâter
apeurer aperé
aphasie afazi
aphasique afazik
aphone afon
aphorisme aforism^
aphrodisiaque afrodizïak
aphte aft^
aphteuse aftEz
aphteux aftE
aphérèse afér%z
apiculteur apikylter
apiculture apikyltyr
apitoiement apit!amâ
apitoyer apit!aïé
aplanir aplanir
aplati aplati
aplatie aplati
aplatir aplatir
aplatissement aplatismâ
aplomb aplô
apocalypse apokalips^
apocalyptique apokaliptik
apocope apokop
apocryphe apokrif
apogée apojé
apolitique apolitik
apollon apolô
apologie apoloji
apologue apolog
apologétique apolojétik
aponévrose aponévroz
apophtegme apoft%gm^
apophyse apofiz
apoplectique apopl%ktik
apoplexie apopl%ksi
apostasie apostazi
apostat aposta
apostolat apostola
apostolique apostolik
apostrophe apostrof
apostropher apostrofé
apothicaire apotik%r
apothéose apotéoz
apparat apara
apparaître apar%tr^
appareil apar%ï
appareillage apar%ïaj
appareiller aparéïé
apparemment aparamâ
apparence aparâs
apparent aparâ
apparente aparât
apparentement aparâtmâ
apparenter aparâté
apparenté aparâté
apparentée aparâté
appariteur apariter
apparition aparisïô
appartement apart^mâ
appartenance apart^nâs
appartenir apart^nir
appas apa
appauvrir apovrir
appauvrissement apovrismâ
appeau apo
appel ap%l
appeler aplé
appellation apélasïô
appelé aplé
appelée aplé
appendice apêdis
appendicite apêdisit
appentis apâti
appert ap%r
appesantir ap^zâtir
appesantissement ap^zâtismâ
applaudir aplodir
applaudissement aplodismâ
applicable aplikabl^
applicateur aplikater
application aplikasïô
applique aplik
appliquer apliké
appliqué apliké
appliquée apliké
